"Reference","Value","Qty","MouserLink", "MouserPart"
"C1,C2,C3,C4,C34,C35,C36,C37","0.47u","8","https://gr.mouser.com/ProductDetail/TAIYO-YUDEN/MLASU168SB7474KTNB25?qs=tlsG%2FOw5FFiiTzSymTL2VQ%3D%3D", "963-MLASU168SB7474KT"
"C5,C8,C10,C25,C28,C31","0.1u","6","https://gr.mouser.com/ProductDetail/KEMET/C0603C104J5RACTM?qs=JHaSZE6YWYWxKFeO4jSa6A%3D%3D", "80-C0603C104J5RACTM"
"C6,C13,C26,C27","1u","4","https://gr.mouser.com/ProductDetail/TAIYO-YUDEN/MLAST168SB7105KTNA01?qs=tlsG%2FOw5FFhx%252B2apRN1HpA%3D%3D", "963-MLAST168SB7105KT"
"C7,C24","4.7u","2","https://gr.mouser.com/ProductDetail/Murata-Electronics/GRM21BZ7YA475KE15L?qs=Ey7%2FXF42M3dwsQijVSe80A%3D%3D", "81-GRM21BZ7YA475KE5L"
"C9,C12,C29,C32","22u","4","https://gr.mouser.com/ProductDetail/TDK/C2012X5R1V226M125AC?qs=6JAMGB%252BEdkyUk0d2Mu2IrQ%3D%3D", "810-C2012X5R1V226MAC"
"C11,C14,C30,C33","390u","4","https://gr.mouser.com/ProductDetail/Panasonic/EEU-FR1V391L?qs=Ao3mORb5HCCOkPrXwcqwAg%3D%3D", "667-EEU-FR1V391L"
"C15,C16","10u","2","https://gr.mouser.com/ProductDetail/KYOCERA-AVX/KGM21AR71C106MU?qs=sGAEpiMZZMvsSlwiRhF8qrQG6leidpLjU8BjxxSoaKnIf%2FcjJ0%2FHoA%3D%3D", "581-KGM21AR71C106MU"
"C17","1n","1","https://gr.mouser.com/ProductDetail/Samsung-Electro-Mechanics/CL21B102JCANNNC?qs=sGAEpiMZZMvsSlwiRhF8qvCY8MbTG5UFHGOB8n4GMZ4%3D", "187-CL21B102JCANNNC"
"C18,C19","0.33u","2","https://gr.mouser.com/ProductDetail/WIMA/SMD2824-.33-100-10T?qs=iA0XJIPtYnFuO8F%252BGwF6%2Fw%3D%3D", "505-SMD2824.3310010T"
"C20,C21,C22,C23","0.047u","4","https://gr.mouser.com/ProductDetail/WIMA/SMDTD02470QA00KP00?qs=HY1Oqu7CRgokaCT1A9awRA%3D%3D", "505-SMDTD02470QAKP00"
"C38","0.68u","1","https://gr.mouser.com/ProductDetail/WIMA/SMDIC03680TB00KQ00?qs=KSac9zHBIo3VvPUf5ibplQ%3D%3D", "505-PPS28.68/63/10"
"C39,C40","0.1u","2","https://gr.mouser.com/ProductDetail/WIMA/SMDTD03100QA00KP00?qs=K1lkoHpmGTo8%2FcavH5%2FiOw%3D%3D", " 505-SMDTD03100QAKP00"
"D1","Red","1","https://gr.mouser.com/ProductDetail/Vishay-Semiconductors/VLMK3102-GS08?qs=0a36Zf3k4G%2Fw61r73Lk%252B4w%3D%3D", "78-VLMK3102"
"D2","Blue","1","https://gr.mouser.com/ProductDetail/Vishay-Semiconductors/VLMB41P1Q2-GS18?qs=F8HfwHd0zjdVIQw0BQa9zg%3D%3D", "78-VLMB41P1Q2-GS18"
"D3","Green","1","https://gr.mouser.com/ProductDetail/Vishay-Semiconductors/VLMG31L1M2-GS18?qs=F8HfwHd0zjfmlOctkYGhcA%3D%3D", "78-VLMG31L1M2-GS18"
"F1,F2","2A","2","https://gr.mouser.com/ProductDetail/Bel-Fuse/0685P2000-01?qs=vLWxofP3U2wVMvAft2WoWQ%3D%3D", "530-0685P2000-01"
"J1,J2,J3,J4,J6","Molex_430450227","5","https://gr.mouser.com/ProductDetail/Molex/43045-0227?qs=R7%2FZKp6KZ2bwTiEwQINVfw%3D%3D", "538-43045-0227"
"J5","Molex_1053101106","1","https://gr.mouser.com/ProductDetail/Molex/105310-1106?qs=PqFvFmEiOr5yDRWyDD2ubg%3D%3D", "538-105310-1106"
"L1,L2,L3,L4","22u","4","https://gr.mouser.com/ProductDetail/Wurth-Elektronik/7447773220?qs=u16ybLDytRbRnjEx%252BwZuJw%3D%3D", "710-7447773220"
"L5","100u","1","https://gr.mouser.com/ProductDetail/RECOM-Power/RLS-186?qs=gZXFycFWdAMpRLgQeEWoaA%3D%3D", "919-RLS-186"
"L6,L7","10u","2","https://gr.mouser.com/ProductDetail/Wurth-Elektronik/7447714100?qs=XJfXErqHgA4E7sDRWCHdYQ%3D%3D", "710-7447714100"
"MCU1","ESP32-DevKitC-32E","1","https://gr.mouser.com/ProductDetail/Espressif-Systems/ESP32-DevKitC-32E?qs=GedFDFLaBXFpgD0kAZWDrQ%3D%3D", "356-ESP32-DEVKITC32E"
"PS1","R-78K3.3-1.0","1","https://gr.mouser.com/ProductDetail/RECOM-Power/R-78K3.3-1.0?qs=Jm2GQyTW%2FbgHKVxUJQMQlQ%3D%3D", "919-R-78K3.3-1.0"
"R1,R2","2.2k","2","https://gr.mouser.com/ProductDetail/YAGEO/RT0805FRE132K2L?qs=1mbolxNpo8exiBAxJ2f5fA%3D%3D", "603-RT0805FRE132K2L"
"R3,R7,R8,R9,R10,R11,R12,R13,R14,R15","4.7k","10","https://gr.mouser.com/ProductDetail/YAGEO/RT0805DRD074K7L?qs=4CyHz7GXqSgskZKNIL1%252BXQ%3D%3D", "603-RT0805DRD074K7L"
"R4,R5","0","2","https://gr.mouser.com/ProductDetail/Vishay-Beyschlag/MCU0805MZ0000ZP500?qs=W0yvOO0ixfGkgjlHiiSC7A%3D%3D", "594-MCU0805MZ0000ZP5"
"R6","15k","1","https://gr.mouser.com/ProductDetail/YAGEO/RT0805DRD0715KL?qs=sGAEpiMZZMvdGkrng054t98Xz4DA4UW4451u63RR7ec%3D", "603-RT0805DRD0715KL"
"R16","1.6k","1","https://gr.mouser.com/ProductDetail/KOA-Speer/RK73B2ATTD162J?qs=sGAEpiMZZMvdGkrng054t9RmNys7M1Eop6FRuuAV0NQ%3D", "660-RK73B2ATTD162J"
"R17","1.5k","1","https://gr.mouser.com/ProductDetail/KOA-Speer/RK73B2ATTDD152J?qs=sGAEpiMZZMvdGkrng054t3pr%252BPE%2FADjsaMAQ1VbYppg%3D", "660-RK73B2ATTDD152J"
"R18","120","1","https://gr.mouser.com/ProductDetail/KOA-Speer/RK73B2ATTD121G?qs=sGAEpiMZZMvdGkrng054t3pr%252BPE%2FADjs8dBmXO%252B5h9g%3D", "660-RK73B2ATTD121G"
"U1,U2","TAS5822MDCPR","2","https://gr.mouser.com/ProductDetail/Texas-Instruments/TAS5822MDCPR?qs=KUoIvG%2F9IlbFKY5vulvheQ%3D%3D", "595-TAS5822MDCPR"
